ID;Anime;Character;Quote;;;;;;;;
4547;(The Garden of Sinners);Aozaki Touko;In a business like this, there are times when you need to change as the situation demands. I switch my personality depending on how I view things.;;;;;;;;
;;;;;;;;;;;
4549;(Revolutionary Girl Utena);Akio Ohtori;You remind me so much of myself from the past. I also used to think that perseveration had some credits, that it was the best way to change the world... but with that alone you cannot accomplish anything. Without power, you're doomed to become dependent on others, that's the way the world works.;;;;;;;;
4550;(Gintama);Shimura Tae;*To Shinpachi* When your friend is crying, cry with him. When your friend is worried, you should worry with him. And when your friend has an awkward bowel movement, then you must have an awkward bowel movement too, Shin-chan. If you are a friend, you should be able to share the other's pain, no matter what. And Shin-chan, if your friend goes down the wrong path... Then, you must stop your friend, even if it ruins your friendship. That is true samurai friendship.;;;;;;;;
;;;;;;;;;;;
4552;(Psycho-Pass);Kougami Shinya;Being a detective isn't about bringing someone down, but rather protecting someone.;;;;;;;;
4553;(Zetsuen No Tempest);Hakaze Kusaribe;There are no convenient miracles, and there is logic that should be inviolable.;;;;;;;;
4554;(Tonari No Kaibutsu-kun);Natsume Asako;Who cares about school?! The real me lives on the Internet!;;;;;;;;
4555;(Mahou Shoujo Madoka Magica);Kyubee;Do you know how many civilizations are crowded together in the universe and how much energy is used up in one second? Eventually, you humans, will leave this planet as well, and join us. You wouldn't want to be handed an empty, desolate universe then, would you?;;;;;;;;
4556;(Mirai Nikki);Ikusaba Marco;If today is the worst day ever - tomorrow has to be better. ;;;;;;;;
4557;(Revolutionary Girl Utena);Akio Ohtori;Women who cannot become princesses have no choice but to become witches.;;;;;;;;
4558;(Mobile Suit Gundam 00);Setsuna F. Seiei;I wanted to know why was the world so twisted? Where did this twistedness come from? How can people be so wicked without needing to be? And why don't they realize their wickedness? Why are there things that bring chaos to so many lives? Why do people rule and let themselves be ruled? And why do they hurt each other? And why despite all that do people still want to live their lives? I was just looking for answers. I thought that if I met with you, you'd give me those answers... because you're looking for the same thing along a different path from mine - from the path where people can understand each other. ;;;;;;;;
4559;(Baka to Test to Shoukanjuu);Sakamoto Yuuji;There's one good thing about being an idiot. When they really get into something, they can simple-mindedly devote all of their attention to it. I guess some people would just call them obsessed, but to them, that's high praise!;;;;;;;;
4560;(The Garden of Sinners);Aozaki Touko;"A writer once said that ""a designer knows he has achieved perfection not when he has nothing left to add, but when he has nothing left to take away"".";;;;;;;;
4561;(Casshern Sins);Casshern;If you've forgotten death... then you've forgotten what it truly means to be alive.;;;;;;;;
4562;(Yu Yu Hakusho);Koenma;In addition to knowing the secrets of the universe, I can assure you, I am quite potty trained.;;;;;;;;
4563;(Revolutionary Girl Utena);Mamiya Chida;I wonder if the flowers themselves are happy, being forced to last so long. Eternity doesn't exist in this world, does it? It's just that one could think that a heart that longs for eternity is beautiful.;;;;;;;;
4564;(Little Busters!);Kyousuke Natsume;If the world is full of things we never wanted to know, is our only option to look away? You won't solve anything by looking away.;;;;;;;;
4565;(Code Geass: Lelouch of the Rebellion);Charles Zi Britannia;All men are NOT created equal! Some are born smarter, or more beautiful, or with parents of greater status. Some, by contrast, are born of weak body or mind, or with few, if any, talents. All men are different! Yes, the very existence of man is discriminatory! That's why there is war, violence and unrest.;;;;;;;;
4566;(xxxHOLiC);Yuuko Ichihara;Often times, people simply deny the existence of what they do not understand, and anyone who tells them otherwise is a liar. ;;;;;;;;
4567;(Yu Yu Hakusho);Touya;"It's simple. Even the strongest tree will die if left in the dark. I find that to be the best way to describe us. A giant oak, crashing through a dark soil, bringing order to an otherwise chaotic land. The Shinobi have done their job for centuries, and done it well. But in recent years, we have caught glimpses of the outside world, and asked: ""Why not us? Have we not earned the privilege others take for free?"".";;;;;;;;
;;;;;;;;;;;
4569;(Noir);Les Soldats;A sinner once passed away will never return, but sins will never vanish and the love will never die.;;;;;;;;
4570;(Bakuretsu Hunters);Carrot Glace;I'm in the mood for loooooove! *Hot nurse walks in.* I'm in the mood for seeeeeeeeex!;;;;;;;;
4571;(Air);Michiru;Humans can't live without memories, you know. Still, they can't live on memories alone. You have to awaken from your dreams eventually. Because dreams you don't awaken from eventually become sadness.;;;;;;;;
4572;(Special A);Tadashi Karino;Is there a different sorry for simple and complicated situations? Whether it's a simple or complicated problem, if you think you've done something wrong, then in the end you'd say sorry either way.;;;;;;;;
4573;(The Garden of Sinners);Aozaki Touko;The words “fly” and “fall” are tied together. But the more you're hooked to flying, the more you forget about that fact. As a result, you end up trying to reach the skies even after you die. Not falling to the ground, but falling toward the sky.;;;;;;;;
;;;;;;;;;;;
4575;(Casshern Sins);Casshern;Even though there is life, no one here is living it. Life is overflowing and they are merely drinking their fill. But Dio and all the people I've met on my journey aren't like that... they're.. they're more... they were blazing with fire. They were torches burning with life.;;;;;;;;
4576;(The Garden of Sinners);Fujou Kirie;It wasn't the pain that hurt me. Rather, it was the feeling of me being ripped apart, and the sound of the knife plunging deep, deep into my heart. That incomparably bittersweet fear. My body shook and trembled at the thought of it. My silent weeping contained my uneasiness, my loneliness, my will to live. My tears aren't from the pain either, or from the fear of the encounter. It was for the brush of death that I had never before experienced, but had now fallen in love with, even though I pray every night for the strength to live.;;;;;;;;
;;;;;;;;;;;
...;;;;;;;;;;;
Please remember this. If we continue suspecting each other; continue pursuing our own self-interests... who do you think will be left standing in the ring in the end? There won't be anybody there; ladies and gentlemen. Not you;" not me... Not even the ring itself.""";;;;;;;;
4578;(Howl's Moving Castle);Sophie Hatter;A heart's a heavy burden.;;;;;;;;
4579;(Cowboy Bebop);Faye Valentine;They often say that humans can't live alone. But you can live pretty long by yourself. Instead of feeling alone in a group, it's better to be alone in your solitude.;;;;;;;;
4580;(Blood-C);Fumito Nanahara;"What do you think people are made of? I'm not talking about blood or flesh. We do care about what's on the exterior, but we want to focus more on what people even now still call the ""inside."" You can also call it ""nature"". I guess you are either born this way or raised to act this way. Are people born like this or do they become like this? The answer is...";;;;;;;;
4581;(The Garden of Sinners);Aozaki Touko;Vision is not what your eyes see, but an image that your brain comprehends.;;;;;;;;
4582;(Howl's Moving Castle);Howl;Sorry, I've had enough of running away, Sophie. Now I've got something I want to protect. It's you.;;;;;;;;
4583;(Rurouni Kenshin);Kenshin Himura;The scar of my past will determine my future!;;;;;;;;
;;;;;;;;;;;
4585;(Guilty Crown);Gai Tsutsugami;Do you think I can shoulder everyone's lives and not feel any weight? I don't want to be indifferent. I want to be worthy of everyone's feelings.;;;;;;;;
4586;(Cowboy Bebop);Spike Spiegel;I was younger then, I wasn't afraid of anything, I didn't think about dying for a second. I thought I was invincible. Then I met some girl. I wanted to live, I started to think like that;;;;;;;;
4587;(Kokoro Connect);Iori Nagase;I am who I am now because of everything that's happened. If I try to deny my past, I'm denying the person I've become. I don't want to do that.;;;;;;;;
4588;(Hunter X Hunter);Killua Zoldyck;When I say it doesn't hurt me, that means I can bear it.;;;;;;;;
4589;(Berserk);Judeau;Whether it's good or bad, it's so unfortunate to wake up during a dream.;;;;;;;;
4590;(Guilty Crown);Gai Tsutsugami;A life with no adventure in it is boring. The least a friend can do is stir up a little trouble in your heart.;;;;;;;;
4591;(Naruto);Gaara;Naruto... Just so you know, there will be a war to protect the Eight-Tails and Nine-Tails. In other words - you. For the sake of the ninja world and as the Kazekage, I will guard you with my life. If as a member of Akatsuki, Sasuke Uchiha stands in the way of the ninja coalition... I will show him no mercy.;;;;;;;;
4592;(Nodame Cantabile);Chiaki Shinichi;It's my own business what I decide to do and where I decide to do it.;;;;;;;;
4593;(Eyeshield 21);Hiruma Youichi;Don't get too close to him, his stupidity is contagious.;;;;;;;;
4594;(Tonari No Kaibutsu-kun);Yoshida Haru;Make one peep and I will rape you.;;;;;;;;
4595;(Psycho-Pass);Shuusei Kagari;No matter where you are, people find a way to entertain themselves.;;;;;;;;
4596;(Hellsing);Alucard;You have gone and taken all those lives, and not even because you were thirsty! Is it fun... Huh! Is that what it takes for filth like you to get off..? Cheap little two bit terrors.;;;;;;;;
